说明,本表对应 Blood/ResNet/K=3/beta=0.01 的 output-probability t-SNE；LAMP-Merge 概率由 gamma=0.55、s=18.75、tau=2.5、lambda=4.25 正式 checkpoint 重新推理，三个通用基线保持论文原实验概率向量，并在共享 t-SNE 平面重新拟合。
Dataset,Backbone,K,Beta,Method,Sample index,True label,t-SNE x,t-SNE y,Probability class 0,Probability class 1,Probability class 2,Probability class 3,Probability class 4,Probability class 5,Probability class 6,Probability class 7
Blood,ResNet,3,0.01,Weight Averaging,1491,7,-39.618279,11.576560,0.07796451,0.13449837,0.13154307,0.12792507,0.12471595,0.12543190,0.14368606,0.13423508
Blood,ResNet,3,0.01,Weight Averaging,1492,1,33.400398,-35.725803,0.07093338,0.12659992,0.07714499,0.25016156,0.09939949,0.11257094,0.14797513,0.11521462
Blood,ResNet,3,0.01,Weight Averaging,1493,6,-1.334717,-6.047935,0.07655672,0.14369310,0.09772389,0.16674557,0.10661631,0.14415336,0.14476080,0.11975023
Blood,ResNet,3,0.01,Weight Averaging,1494,3,30.694757,-20.974751,0.06951292,0.11279884,0.09131225,0.21818163,0.11491389,0.12796026,0.15019506,0.11512513
Blood,ResNet,3,0.01,Weight Averaging,1495,1,11.428350,-11.638962,0.07074171,0.13047141,0.08946960,0.19017640,0.10081858,0.15049034,0.14723699,0.12059496
Blood,ResNet,3,0.01,Weight Averaging,1496,0,16.576731,5.926169,0.09392223,0.13081701,0.07441379,0.17543390,0.10214580,0.15361495,0.15780304,0.11184925
Blood,ResNet,3,0.01,Weight Averaging,1497,6,2.266386,-10.536242,0.07678608,0.13582216,0.09031948,0.17844473,0.11092278,0.13747850,0.14452913,0.12569715
Blood,ResNet,3,0.01,Weight Averaging,1498,4,-21.295547,8.728035,0.06579632,0.11977029,0.10333382,0.19607198,0.13892740,0.10988777,0.14033470,0.12587771
Blood,ResNet,3,0.01,Weight Averaging,1499,6,7.004239,-10.214491,0.08108017,0.13410687,0.08936431,0.18265462,0.10217830,0.14422016,0.14902042,0.11737514
Blood,ResNet,3,0.01,Weight Averaging,1500,4,-27.726505,10.142051,0.06811652,0.11138149,0.10184754,0.15353914,0.15457711,0.14372222,0.13443203,0.13238400
Blood,ResNet,3,0.01,Weight Averaging,1501,7,-53.534176,10.013054,0.08125451,0.13884316,0.15337372,0.11712240,0.13475664,0.10603031,0.12180176,0.14681751
Blood,ResNet,3,0.01,Weight Averaging,1502,2,-45.702641,-1.449096,0.06909470,0.15196659,0.14156136,0.15074331,0.12445284,0.09706966,0.13794725,0.12716436
Blood,ResNet,3,0.01,Weight Averaging,1503,3,32.607117,-32.041019,0.06240813,0.13265188,0.07655054,0.23970260,0.10931627,0.12021327,0.14134364,0.11781367
Blood,ResNet,3,0.01,Weight Averaging,1504,5,1.250287,19.023584,0.06865606,0.11423966,0.08340717,0.14978717,0.12652114,0.19554940,0.14228314,0.11955620
Blood,ResNet,3,0.01,Weight Averaging,1505,1,9.929960,-10.492687,0.07178310,0.12814644,0.08897580,0.18725519,0.10362220,0.15146744,0.14352278,0.12522700
Blood,ResNet,3,0.01,Weight Averaging,1506,1,31.102720,-38.456486,0.05371424,0.13816570,0.09107896,0.25407961,0.08758067,0.10647298,0.15610273,0.11280503
Blood,ResNet,3,0.01,Weight Averaging,1507,1,31.509226,-17.078115,0.06985223,0.11892413,0.07298081,0.22335276,0.10766020,0.14702427,0.14691608,0.11328946
Blood,ResNet,3,0.01,Weight Averaging,1508,7,-52.842773,12.668272,0.08997691,0.13724642,0.14938293,0.10922444,0.13434231,0.11105143,0.12259562,0.14617991
Blood,ResNet,3,0.01,Weight Averaging,1509,4,-22.994005,10.824953,0.06672946,0.11042429,0.08986004,0.18910199,0.14076883,0.13744485,0.14248917,0.12318147
Blood,ResNet,3,0.01,Weight Averaging,1510,4,-21.668751,9.149794,0.06761396,0.11918022,0.09626883,0.19418067,0.14723299,0.11523629,0.13363709,0.12664990
Blood,ResNet,3,0.01,Weight Averaging,1511,2,-45.897156,-2.175789,0.06688589,0.14140365,0.15084690,0.15660855,0.11912219,0.09426711,0.13908963,0.13177608
Blood,ResNet,3,0.01,Weight Averaging,1512,6,-3.525951,-11.088238,0.07386256,0.14741537,0.10296147,0.17141260,0.10833707,0.12858871,0.14684531,0.12057694
Blood,ResNet,3,0.01,Weight Averaging,1513,7,-57.459015,7.539854,0.07343721,0.13222577,0.16675401,0.11359459,0.13943319,0.10829932,0.12326536,0.14299051
Blood,ResNet,3,0.01,Weight Averaging,1514,3,15.391243,-22.048029,0.07033170,0.11962777,0.08948052,0.21094467,0.11240531,0.13069488,0.14700140,0.11951368
Blood,ResNet,3,0.01,Weight Averaging,1515,7,-54.404556,7.053413,0.07372227,0.13177432,0.15491992,0.12120194,0.14491141,0.10867564,0.12147723,0.14331727
Blood,ResNet,3,0.01,Weight Averaging,1516,1,5.504148,4.719919,0.07863829,0.12355832,0.09337614,0.16034025,0.12009311,0.15984967,0.14578879,0.11835543
Blood,ResNet,3,0.01,Weight Averaging,1517,1,5.204619,0.300232,0.08128072,0.12867856,0.08984395,0.16419211,0.11045379,0.15544836,0.15232451,0.11777799
Blood,ResNet,3,0.01,Weight Averaging,1518,2,-43.437653,-0.606492,0.07366985,0.13833305,0.12585092,0.15697289,0.12760733,0.10009714,0.14332440,0.13414441
Blood,ResNet,3,0.01,Weight Averaging,1519,3,9.625464,-12.566813,0.07921279,0.12879905,0.08450954,0.18668427,0.10966451,0.14118139,0.15415476,0.11579371
Blood,ResNet,3,0.01,Weight Averaging,1520,4,-41.037525,5.273615,0.06905513,0.12640682,0.13161841,0.14106879,0.15269339,0.11336503,0.13599724,0.12979513
Blood,ResNet,3,0.01,Weight Averaging,1521,0,17.277933,7.076426,0.08819009,0.13050394,0.07055739,0.17494720,0.11176667,0.16274405,0.14772123,0.11356950
Blood,ResNet,3,0.01,Weight Averaging,1522,6,-6.999747,-1.102477,0.06978433,0.13354857,0.10884754,0.15349405,0.12237900,0.14308068,0.14541681,0.12344909
Blood,ResNet,3,0.01,Weight Averaging,1523,6,3.659032,-23.280588,0.07828937,0.14709999,0.09852429,0.19634174,0.09556939,0.11317535,0.14534463,0.12565525
Blood,ResNet,3,0.01,Weight Averaging,1524,1,28.333525,-28.411165,0.05757691,0.12868893,0.10609111,0.21125236,0.11412080,0.11163569,0.14021179,0.13042240
Blood,ResNet,3,0.01,Weight Averaging,1525,2,-58.013832,-2.427484,0.08313487,0.15036902,0.17285642,0.11171029,0.13211243,0.09576885,0.12180205,0.13224609
Blood,ResNet,3,0.01,Weight Averaging,1526,7,-38.092247,6.027234,0.07470719,0.13802028,0.12658434,0.14297429,0.13167140,0.11609294,0.13455455,0.13539499
Blood,ResNet,3,0.01,Weight Averaging,1527,1,5.731914,0.027474,0.07330383,0.12843524,0.09425054,0.16794904,0.11212324,0.15767220,0.14686489,0.11940102
Blood,ResNet,3,0.01,Weight Averaging,1528,4,-29.521570,6.612755,0.06675428,0.12264282,0.11614046,0.15625486,0.14634050,0.11775956,0.14409526,0.13001226
Blood,ResNet,3,0.01,Weight Averaging,1529,3,39.268909,-22.453180,0.06359028,0.10849038,0.07234854,0.24195439,0.12267655,0.13503057,0.14975482,0.10615447
Blood,ResNet,3,0.01,Weight Averaging,1530,0,18.984356,6.203023,0.09604882,0.12347040,0.05969128,0.18785098,0.11008251,0.16035384,0.15327129,0.10923090
Blood,ResNet,3,0.01,Weight Averaging,1531,1,10.511248,-4.400978,0.07646598,0.12887920,0.08089726,0.18177404,0.10904651,0.15432832,0.15219283,0.11641587
Blood,ResNet,3,0.01,Weight Averaging,1532,5,29.374559,-12.330167,0.06389868,0.11417941,0.07113171,0.21119025,0.11675364,0.16637775,0.14158402,0.11488456
Blood,ResNet,3,0.01,Weight Averaging,1533,7,-56.987286,12.923564,0.08672024,0.13259400,0.16216549,0.09683962,0.13584806,0.11395916,0.12037037,0.15150309
Blood,ResNet,3,0.01,Weight Averaging,1534,7,-50.421448,14.856865,0.08598407,0.14228614,0.14416450,0.10708751,0.13065419,0.12283454,0.12591428,0.14107481
Blood,ResNet,3,0.01,Weight Averaging,1535,1,16.500685,-25.148993,0.06570835,0.13005657,0.08606102,0.21548226,0.10160535,0.12528938,0.15244964,0.12334743
Blood,ResNet,3,0.01,Weight Averaging,1536,1,24.303301,-30.624926,0.07559964,0.12825446,0.08397013,0.22634220,0.09914451,0.12051137,0.15588845,0.11028917
Blood,ResNet,3,0.01,Weight Averaging,1537,0,10.902287,5.338783,0.09793476,0.12085213,0.08811965,0.17276384,0.12006563,0.12898374,0.15442303,0.11685720
Blood,ResNet,3,0.01,Weight Averaging,1538,5,1.392469,20.300632,0.07221293,0.11462372,0.07613168,0.15066773,0.11964961,0.20646650,0.14554894,0.11469895
Blood,ResNet,3,0.01,Weight Averaging,1539,1,-4.076727,-1.075000,0.07187424,0.13468860,0.10528670,0.15859964,0.11475666,0.14730206,0.15055150,0.11694063
Blood,ResNet,3,0.01,Weight Averaging,1540,3,39.271545,-24.442678,0.06647596,0.10979894,0.06922323,0.24719769,0.10910104,0.13130306,0.15315221,0.11374794
Blood,ResNet,3,0.01,Weight Averaging,1541,5,28.686672,-20.571783,0.06215889,0.11961990,0.08626196,0.22232227,0.11929886,0.13206162,0.13900927,0.11926717
Blood,ResNet,3,0.01,Weight Averaging,1542,3,9.679277,-22.766712,0.05795875,0.12627533,0.10507432,0.20313945,0.11113117,0.11950707,0.15609400,0.12081985
Blood,ResNet,3,0.01,Weight Averaging,1543,3,24.186945,-6.585401,0.07243924,0.11163065,0.07964837,0.19940998,0.11450851,0.15555710,0.14849666,0.11830953
Blood,ResNet,3,0.01,Weight Averaging,1544,7,-61.268959,-5.231559,0.07080060,0.13473074,0.19332685,0.10871051,0.13677107,0.08596873,0.12153891,0.14815257
Blood,ResNet,3,0.01,Weight Averaging,1545,6,13.812708,-13.074631,0.06684896,0.13438413,0.08140454,0.19917449,0.10229070,0.14819983,0.15206444,0.11563296
Blood,ResNet,3,0.01,Weight Averaging,1546,0,16.498783,8.908554,0.09083626,0.12313611,0.07096926,0.16783009,0.10756725,0.17599167,0.15435290,0.10931640
Blood,ResNet,3,0.01,Weight Averaging,1547,5,7.203240,-3.437232,0.06806946,0.11805425,0.09582212,0.17991661,0.11456314,0.15166584,0.14807476,0.12383386
Blood,ResNet,3,0.01,Weight Averaging,1548,5,18.181429,-1.489826,0.07222864,0.11037883,0.09280948,0.17320421,0.12586872,0.15683202,0.14773361,0.12094444
Blood,ResNet,3,0.01,Weight Averaging,1549,1,35.141392,-36.612793,0.06600542,0.12406912,0.07264047,0.25024426,0.09473439,0.12720010,0.15443861,0.11066760
Blood,ResNet,3,0.01,Weight Averaging,1550,7,-44.816448,11.131397,0.08083232,0.13499077,0.14152955,0.12233574,0.13434307,0.11613239,0.13197976,0.13785639
Blood,ResNet,3,0.01,Weight Averaging,1551,6,-10.129733,-1.506266,0.08198302,0.13817626,0.11848163,0.13976650,0.11765138,0.13368875,0.14497893,0.12527351
Blood,ResNet,3,0.01,Weight Averaging,1552,4,-33.265938,10.726716,0.06932592,0.11418767,0.12400702,0.12769781,0.15098749,0.13832515,0.14383093,0.13163799
Blood,ResNet,3,0.01,Weight Averaging,1553,6,3.560829,-11.353730,0.07612722,0.13860248,0.09284172,0.18213268,0.10629714,0.13664161,0.14858806,0.11876911
Blood,ResNet,3,0.01,Weight Averaging,1554,4,-23.284042,8.069118,0.06153566,0.11993072,0.10857917,0.18241049,0.14575271,0.11545176,0.13792618,0.12841326
Blood,ResNet,3,0.01,Weight Averaging,1555,3,34.679298,-30.746429,0.05757798,0.12924817,0.08659673,0.25422865,0.12296281,0.09922844,0.13568202,0.11447518
Blood,ResNet,3,0.01,Weight Averaging,1556,1,13.936423,-3.021362,0.07077077,0.12846965,0.08367126,0.18392697,0.10897558,0.15673327,0.14339192,0.12406065
Blood,ResNet,3,0.01,Weight Averaging,1557,7,-53.908371,10.966590,0.07958202,0.13499273,0.15253195,0.11349566,0.14259054,0.11645592,0.12404389,0.13630722
Blood,ResNet,3,0.01,Weight Averaging,1558,7,-55.166206,4.743112,0.07485985,0.12999478,0.16181755,0.12613450,0.14517170,0.09876216,0.12656716,0.13669232
Blood,ResNet,3,0.01,Weight Averaging,1559,6,11.267857,-21.660131,0.06982014,0.13654462,0.09192548,0.19870424,0.10476124,0.13015117,0.14674816,0.12134493
Blood,ResNet,3,0.01,Weight Averaging,1560,3,30.419821,-24.430002,0.06544103,0.12647060,0.08698311,0.22160436,0.13078111,0.11396573,0.13962179,0.11513231
Blood,ResNet,3,0.01,Weight Averaging,1561,0,12.697518,8.141651,0.11508258,0.12519339,0.07156653,0.14846858,0.11822585,0.15374413,0.15602186,0.11169706
Blood,ResNet,3,0.01,Weight Averaging,1562,2,-4.843303,-17.009455,0.06322274,0.13200329,0.11633603,0.18880242,0.12078375,0.11079992,0.14494714,0.12310466
Blood,ResNet,3,0.01,Weight Averaging,1563,2,-56.075256,4.422453,0.07566031,0.13521007,0.16680476,0.12677594,0.14360806,0.09479567,0.11978527,0.13735993
Blood,ResNet,3,0.01,Weight Averaging,1564,1,33.221764,-36.423321,0.06519902,0.12490468,0.07849595,0.24804066,0.09491856,0.11854602,0.15193471,0.11796039
Blood,ResNet,3,0.01,Weight Averaging,1565,0,29.553989,-3.929459,0.09127063,0.12732501,0.06852356,0.19674668,0.10927582,0.13775444,0.16049525,0.10860863
Blood,ResNet,3,0.01,Weight Averaging,1566,5,-1.758952,16.901087,0.07565930,0.12080967,0.09005055,0.14438093,0.12323307,0.18171322,0.14348139,0.12067188
Blood,ResNet,3,0.01,Weight Averaging,1567,5,8.938715,1.440754,0.07064807,0.11580710,0.09183572,0.17112274,0.11503409,0.16016060,0.15699968,0.11839200
Blood,ResNet,3,0.01,Weight Averaging,1568,2,-39.698837,12.007352,0.08140557,0.13806638,0.12253822,0.13664463,0.12285051,0.12504376,0.13328427,0.14016663
Blood,ResNet,3,0.01,Weight Averaging,1569,5,4.160892,15.523277,0.06962363,0.12405086,0.07913253,0.16570920,0.12047233,0.18075085,0.15292618,0.10733443
Blood,ResNet,3,0.01,Weight Averaging,1570,1,12.362985,-10.795984,0.06631909,0.13379242,0.08901797,0.18516980,0.09941930,0.15104648,0.16295822,0.11227668
Blood,ResNet,3,0.01,Weight Averaging,1571,7,-10.526369,-1.151848,0.07815507,0.14323987,0.11577900,0.13277461,0.11811332,0.13771661,0.14242639,0.13179514
Blood,ResNet,3,0.01,Weight Averaging,1572,3,28.958832,-16.544373,0.06690615,0.11977486,0.08082317,0.21504506,0.11465950,0.14121100,0.14718714,0.11439314
Blood,ResNet,3,0.01,Weight Averaging,1573,0,15.032193,-35.498581,0.07666757,0.12030763,0.07420344,0.21610953,0.09959751,0.13272732,0.17123809,0.10914887
Blood,ResNet,3,0.01,Weight Averaging,1574,2,-60.286461,-2.056997,0.07570863,0.14092541,0.17808247,0.10419347,0.13172440,0.10187903,0.13165694,0.13582966
Blood,ResNet,3,0.01,Weight Averaging,1575,3,32.004154,-23.927832,0.06598053,0.11639440,0.07773598,0.23134422,0.13461512,0.11264265,0.14594333,0.11534380
Blood,ResNet,3,0.01,Weight Averaging,1576,2,-61.479622,-4.263443,0.07506227,0.13807474,0.18892580,0.10344791,0.13440527,0.09146885,0.12459079,0.14402439
Blood,ResNet,3,0.01,Weight Averaging,1577,7,-54.861168,11.161743,0.07990755,0.13700746,0.15144287,0.11029805,0.14317824,0.11088935,0.12252476,0.14475176
Blood,ResNet,3,0.01,Weight Averaging,1578,1,13.111092,-16.256620,0.07421970,0.12262917,0.08677525,0.19860719,0.10861963,0.13943465,0.15754403,0.11217033
Blood,ResNet,3,0.01,Weight Averaging,1579,2,-48.781792,-2.813308,0.06954408,0.14184618,0.16456142,0.14470258,0.12129276,0.08621999,0.13756435,0.13426855
Blood,ResNet,3,0.01,Weight Averaging,1580,0,31.070820,-4.050337,0.08275344,0.13375998,0.07256281,0.20481832,0.10085536,0.13369513,0.15977797,0.11177698
Blood,ResNet,3,0.01,Weight Averaging,1581,1,20.120155,-24.876396,0.06152440,0.13243668,0.08667580,0.22212858,0.09800219,0.13489945,0.14976080,0.11457206
Blood,ResNet,3,0.01,Weight Averaging,1582,3,6.969159,4.257630,0.07938298,0.11356952,0.09484968,0.16290775,0.12033430,0.15585594,0.15638560,0.11671419
Blood,ResNet,3,0.01,Weight Averaging,1583,6,2.432002,-2.390620,0.07399720,0.13333406,0.09354054,0.16979982,0.10670667,0.15041105,0.14721625,0.12499444
Blood,ResNet,3,0.01,Weight Averaging,1584,6,-0.360030,-20.116570,0.06805092,0.14711657,0.10663623,0.18980981,0.09599019,0.11737924,0.14669700,0.12832007
Blood,ResNet,3,0.01,Weight Averaging,1585,7,-48.151386,20.065470,0.09731621,0.12760900,0.13743059,0.10164510,0.14232835,0.13115695,0.12717803,0.13533577
Blood,ResNet,3,0.01,Weight Averaging,1586,3,49.169941,-35.933216,0.05877635,0.11143834,0.05972890,0.31047907,0.10106944,0.10906342,0.14312863,0.10631580
Blood,ResNet,3,0.01,Weight Averaging,1587,5,-1.106407,16.683741,0.07550113,0.11551656,0.08834288,0.14662223,0.12977073,0.18015297,0.14587842,0.11821508
Blood,ResNet,3,0.01,Weight Averaging,1588,3,34.931793,-28.426657,0.06360310,0.11905252,0.08333097,0.24561544,0.11960434,0.11380467,0.13844101,0.11654804
Blood,ResNet,3,0.01,Weight Averaging,1589,6,-2.801071,2.663294,0.07694589,0.13799798,0.09924850,0.15501873,0.11080756,0.15512712,0.13998073,0.12487347
Blood,ResNet,3,0.01,Weight Averaging,1590,7,-13.472041,13.934714,0.07697811,0.11724454,0.11224535,0.12345535,0.14660583,0.15536489,0.14072977,0.12737617
Blood,ResNet,3,0.01,Weight Averaging,1591,0,29.639061,-3.927107,0.08672605,0.12944040,0.06746495,0.19685446,0.10399285,0.14087704,0.16259153,0.11205278
Blood,ResNet,3,0.01,Weight Averaging,1592,2,-50.900429,0.962272,0.08426651,0.14469731,0.15241201,0.12190547,0.12223339,0.10120007,0.13939157,0.13389368
Blood,ResNet,3,0.01,Weight Averaging,1593,6,-10.362097,-0.132919,0.07634743,0.13315229,0.11901304,0.13961554,0.11546925,0.14411552,0.14511351,0.12717345
Blood,ResNet,3,0.01,Weight Averaging,1594,3,38.840958,-31.026449,0.06504928,0.12250835,0.07329700,0.25352105,0.11171611,0.11511690,0.14516290,0.11362837
Blood,ResNet,3,0.01,Weight Averaging,1595,6,-9.820427,4.751895,0.07570981,0.12927693,0.11015400,0.13545583,0.12789930,0.15752456,0.14244561,0.12153392
Blood,ResNet,3,0.01,Weight Averaging,1596,3,43.129066,-30.962282,0.06246459,0.11349458,0.06778523,0.26505601,0.11258201,0.12253531,0.14503464,0.11104758
Blood,ResNet,3,0.01,Weight Averaging,1597,7,-41.115726,6.212922,0.06898473,0.12307049,0.13755319,0.13561685,0.14594308,0.11663222,0.13090995,0.14128956
Blood,ResNet,3,0.01,Weight Averaging,1598,6,-0.059901,1.229318,0.08094973,0.14238103,0.08832806,0.16184254,0.11211971,0.15387298,0.13921279,0.12129315
Blood,ResNet,3,0.01,Weight Averaging,1599,5,-2.840415,21.242208,0.07732490,0.11164669,0.08815778,0.12649886,0.12985808,0.20227672,0.14435631,0.11988062
Blood,ResNet,3,0.01,Weight Averaging,1600,6,-0.992573,-47.252594,0.07259171,0.14825417,0.07862516,0.20699054,0.09028115,0.12700501,0.15908279,0.11716952
Blood,ResNet,3,0.01,Weight Averaging,1601,7,-54.378548,6.554657,0.07382907,0.13411625,0.15592688,0.12388279,0.14881802,0.10473426,0.11989715,0.13879558
Blood,ResNet,3,0.01,Weight Averaging,1602,4,-26.143553,8.540559,0.06028140,0.11885505,0.10607454,0.16494329,0.14493260,0.12953417,0.14492567,0.13045323
Blood,ResNet,3,0.01,Weight Averaging,1603,3,43.819153,-29.849003,0.05974293,0.10945204,0.06681110,0.26746958,0.11471820,0.12751356,0.14654793,0.10774469
Blood,ResNet,3,0.01,Weight Averaging,1604,1,15.739906,-11.989738,0.07374682,0.12685353,0.07686230,0.19893484,0.10392050,0.15247741,0.14760219,0.11960240
Blood,ResNet,3,0.01,Weight Averaging,1605,3,20.613241,-7.223356,0.06982262,0.12095708,0.08480765,0.18561633,0.12505324,0.13598764,0.15628374,0.12147176
Blood,ResNet,3,0.01,Weight Averaging,1606,6,-3.153412,10.488002,0.08266502,0.13417272,0.09315909,0.13714507,0.11414384,0.18071893,0.13953477,0.11846065
Blood,ResNet,3,0.01,Weight Averaging,1607,0,16.754362,8.590830,0.09869312,0.12279293,0.06041019,0.16952710,0.10910649,0.17805332,0.15414687,0.10727000
Blood,ResNet,3,0.01,Weight Averaging,1608,5,3.103676,14.404956,0.07189154,0.11723880,0.08244613,0.16146044,0.13111055,0.17603700,0.14289601,0.11691954
Blood,ResNet,3,0.01,Weight Averaging,1609,1,11.422966,-4.159700,0.06977083,0.13213338,0.08167557,0.18256587,0.10698513,0.15547507,0.15220363,0.11919057
Blood,ResNet,3,0.01,Weight Averaging,1610,7,-50.542881,9.144980,0.07646237,0.14010260,0.14705269,0.12387265,0.13265318,0.11096457,0.12897506,0.13991691
Blood,ResNet,3,0.01,Weight Averaging,1611,7,-44.892647,9.972955,0.07846258,0.13012673,0.13915545,0.12416459,0.14470896,0.11922619,0.12866753,0.13548796
Blood,ResNet,3,0.01,Weight Averaging,1612,1,33.901184,-27.040752,0.06921130,0.11711250,0.08340406,0.23570256,0.11076099,0.11545116,0.14460792,0.12374950
Blood,ResNet,3,0.01,Weight Averaging,1613,3,38.178913,-21.284143,0.06552662,0.10690393,0.07098933,0.23946795,0.11555868,0.13886936,0.15083887,0.11184531
Blood,ResNet,3,0.01,Weight Averaging,1614,3,22.682318,-4.501273,0.07026880,0.11628298,0.07978498,0.18493293,0.12133835,0.14983970,0.16179787,0.11575435
Blood,ResNet,3,0.01,Weight Averaging,1615,7,-47.960411,14.586920,0.08389220,0.13381927,0.14472534,0.11335716,0.13075477,0.12469482,0.13032988,0.13842663
Blood,ResNet,3,0.01,Weight Averaging,1616,4,-21.444427,9.309808,0.06616856,0.12327113,0.09224028,0.19552797,0.14329773,0.11836540,0.13971157,0.12141740
Blood,ResNet,3,0.01,Weight Averaging,1617,0,25.186687,-6.281154,0.08370823,0.11899080,0.07442931,0.19574098,0.12837480,0.14533748,0.14334239,0.11007598
Blood,ResNet,3,0.01,Weight Averaging,1618,3,0.212742,-5.729922,0.07294794,0.13885304,0.09650075,0.17142673,0.11478236,0.13656767,0.14864478,0.12027675
Blood,ResNet,3,0.01,Weight Averaging,1619,0,25.653679,-25.356913,0.07735667,0.12625578,0.06111656,0.23678990,0.10352830,0.13797529,0.14409927,0.11287831
Blood,ResNet,3,0.01,Weight Averaging,1620,4,-34.082096,13.957951,0.08081347,0.12386654,0.13133880,0.10965095,0.13387239,0.14145643,0.15256447,0.12643693
Blood,ResNet,3,0.01,Weight Averaging,1621,1,16.168123,-16.841099,0.07515808,0.13397977,0.08034749,0.19702516,0.09863102,0.14517245,0.15171902,0.11796703
Blood,ResNet,3,0.01,Weight Averaging,1622,1,25.697416,-21.635267,0.06991061,0.13105895,0.08297761,0.21513224,0.11259026,0.12778644,0.14955051,0.11099336
Blood,ResNet,3,0.01,Weight Averaging,1623,7,-48.300808,12.358998,0.07945766,0.12547751,0.13827342,0.12216126,0.14417416,0.11678799,0.12603661,0.14763135
Blood,ResNet,3,0.01,Weight Averaging,1624,3,38.876789,-24.087353,0.06596099,0.11281413,0.07149465,0.24210598,0.11688711,0.12691215,0.15325822,0.11056684
Blood,ResNet,3,0.01,Weight Averaging,1625,1,17.980389,-24.691628,0.07114131,0.13109241,0.08766637,0.21105079,0.09279855,0.13148335,0.15672052,0.11804675
Blood,ResNet,3,0.01,Weight Averaging,1626,1,24.570971,-28.644566,0.07412534,0.12547429,0.07412659,0.22399308,0.10020010,0.12793051,0.15857369,0.11557642
Blood,ResNet,3,0.01,Weight Averaging,1627,6,2.750424,0.366734,0.07878209,0.13758010,0.08859338,0.17189819,0.10724389,0.15835063,0.13868281,0.11886884
Blood,ResNet,3,0.01,Weight Averaging,1628,3,22.862587,-2.829546,0.06495888,0.10516310,0.07160915,0.19977233,0.11911660,0.16613311,0.15665199,0.11659490
Blood,ResNet,3,0.01,Weight Averaging,1629,3,22.844744,-34.346218,0.07326309,0.13781518,0.09629297,0.21525960,0.10583882,0.10766361,0.14607894,0.11778782
Blood,ResNet,3,0.01,Weight Averaging,1630,0,16.471729,5.750758,0.09947796,0.12753917,0.06833918,0.17634799,0.10151401,0.15345840,0.16505376,0.10826948
Blood,ResNet,3,0.01,Weight Averaging,1631,6,26.818117,-35.558784,0.06587154,0.14551438,0.08614217,0.22974733,0.09107666,0.11039595,0.15230861,0.11894332
Blood,ResNet,3,0.01,Weight Averaging,1632,1,11.992470,-23.033735,0.06571848,0.13775578,0.09117077,0.20660976,0.09966919,0.12937628,0.15203598,0.11766374
Blood,ResNet,3,0.01,Weight Averaging,1633,5,1.731814,17.728550,0.07855267,0.10958695,0.07974623,0.15076670,0.12744273,0.19105507,0.14675404,0.11609558
Blood,ResNet,3,0.01,Weight Averaging,1634,1,25.018976,-34.680882,0.06180819,0.13937162,0.09492563,0.21974576,0.10001431,0.11143681,0.15541491,0.11728276
Blood,ResNet,3,0.01,Weight Averaging,1635,2,-51.878750,-0.997074,0.07125944,0.14583504,0.15659530,0.12434468,0.12685372,0.09622334,0.14128627,0.13760221
Blood,ResNet,3,0.01,Weight Averaging,1636,7,-43.619026,14.709388,0.07563080,0.12772138,0.13382724,0.12048446,0.14800456,0.12702945,0.13465594,0.13264616
Blood,ResNet,3,0.01,Weight Averaging,1637,5,36.764072,-23.969334,0.07251772,0.10847524,0.07671963,0.23859313,0.12127113,0.12832692,0.13902053,0.11507576
Blood,ResNet,3,0.01,Weight Averaging,1638,2,-62.728012,-3.196589,0.06804482,0.13962165,0.18777174,0.10237278,0.14737980,0.09569274,0.12055481,0.13856168
Blood,ResNet,3,0.01,Weight Averaging,1639,6,-6.970689,4.853401,0.08203267,0.13969876,0.10046043,0.14187932,0.12108994,0.15632492,0.14021586,0.11829813
Blood,ResNet,3,0.01,Weight Averaging,1640,5,22.750637,-10.489531,0.06998231,0.12011803,0.08194130,0.20396779,0.12298855,0.13172810,0.15215015,0.11712380
Blood,ResNet,3,0.01,Weight Averaging,1641,3,43.408653,-31.630087,0.06515764,0.11034474,0.06441464,0.26647460,0.11176149,0.12032057,0.15050484,0.11102145
Blood,ResNet,3,0.01,Weight Averaging,1642,7,-53.606010,12.350522,0.08365954,0.13805301,0.15096582,0.10693175,0.13830811,0.11294280,0.12847228,0.14066666
Blood,ResNet,3,0.01,Weight Averaging,1643,6,-9.674603,-56.988350,0.07532863,0.15676032,0.09754552,0.19437948,0.09809428,0.10456135,0.14573231,0.12759808
Blood,ResNet,3,0.01,Weight Averaging,1644,4,-24.974699,9.558233,0.06790518,0.10987908,0.10218146,0.17354512,0.14419901,0.12798724,0.14959703,0.12470587
Blood,ResNet,3,0.01,Weight Averaging,1645,6,3.703404,-17.551189,0.07643986,0.13620035,0.09603862,0.18888858,0.10684361,0.13073491,0.14110589,0.12374821
Blood,ResNet,3,0.01,Weight Averaging,1646,3,20.106314,-13.926237,0.07055102,0.13538487,0.08746644,0.19897659,0.11844300,0.13108315,0.14016423,0.11793067
Blood,ResNet,3,0.01,Weight Averaging,1647,2,-41.984066,3.979720,0.06233179,0.12143951,0.14345087,0.14711091,0.14797658,0.10755358,0.13638204,0.13375470
Blood,ResNet,3,0.01,Weight Averaging,1648,1,18.456341,-25.975891,0.07040887,0.13327125,0.08516220,0.21686758,0.09057604,0.12726565,0.16285449,0.11359391
